Breed ,Dog_Size,Dog_Breed_Group,Height,Avg_Height,Weight,Avg_Weight,Avg_weight_kg,Life_Span,Avg_Life_Span,Adaptability,Apartment_Living,Novice_Owners,Sensitivity,Tolerates_Being_Alone,Cold_Weather,Hot_Weather,Overall_Friendliness,Affectionate_Family,Kid_Friendly,Dog_Friendly,Friendly_To_Strangers,Health_Grooming_Needs,Shedding,Drooling,Easy_To_Groom,Health,Weight_Gain,Size,Trainability,Easy_To_Train,Intelligence,Mouthiness,Prey_Drive,Bark_Tendency,Wanderlust,Physical_Needs,Energy_Level,Intensity,Exercise,Playfulness,Image
Hovawart,Very Large,Working Dogs,23 to 29 inches,66.04,55 to 110 pounds,82,37.12,10 to 14 years,12,2.4,1,2,3,2,4,3,3.33,4,4,2,2,3,3,1,4,4,3,4,2.4,2,4,2,2,2,2,4,4,4,4,4,https://www.dogtime.com/assets/uploads/2020/09/hovawart-dog-breed-pictures-cover-650x368.jpg
Huskita,Very Large,Mixed Breed Dogs,22 to 25 inches ,59.69,50 to 75 pounds ,62,28.12,10 to 13 years,12,2.6,2,1,4,1,5,3,3,5,2,2,3,3,4,3,1,4,3,4,3.4,2,3,3,4,5,5,4.33,4,4,5,5,https://www.dogtime.com/assets/uploads/2019/12/huskita-mixed-dog-breed-pictures-cover-650x368.jpg
Huskydoodle,Very Large,Mixed Breed Dogs,12 to 25 inches,46.99,40 to 60 pounds,50,22.5,10 to 14 years,12,2.6,2,2,3,2,4,3,4,4,4,4,3,3.2,3,2,3,4,4,3,3.4,3,5,3,4,2,2,4.67,5,4,5,4,https://www.dogtime.com/assets/uploads/2019/12/huskydoodle-mixed-dog-breed-pictures-cover-650x368.jpg
Ibizan Hound,Very Large,Hound Dogs,22 to 27 inches tall at the shoulder,62.23,45 to 50 pounds,47,21.38,10 to 14 years,12,3,5,3,4,2,1,4,5,5,5,5,4,2.8,3,1,5,4,1,3,3.4,3,4,3,5,2,5,4.33,5,3,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23028_ibizan-hound-300x189.jpg
Icelandic Sheepdog,Large,Herding Dogs,16 to 18 inchestall at the shoulder,43.18,20 to 30 pounds,25,11.25,14 to 15 years,14,2.4,1,1,3,2,5,3,3.33,4,4,2,2,2.6,5,1,1,3,3,3,3,3,4,3,4,1,4,4.33,4,5,4,4,https://www.dogtime.com/assets/uploads/2011/01/file_23274_icelandic-sheepdog-300x189.jpg
Irish Red And White Setter,Very Large,Sporting Dogs,22 to 26 inches tall at the shoulder,60.96,50 to 70 pounds,60,27,10 to 14 years,12,2.6,1,3,4,1,4,3,4.33,5,4,4,4,2.2,3,1,3,2,2,3,3.6,4,4,4,3,3,4,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23254_irish-red-and-white-setter-300x189.jpg
Irish Setter,Very Large,Sporting Dogs,25 inch to 27 inches tall at the shoulder,66.04,60 to 70 pounds,64,29.25,11 to 15 years,13,2.8,1,3,4,2,4,3,5,5,5,5,5,2.8,4,2,3,2,3,4,4.6,4,5,5,5,4,5,4.33,5,3,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22984_irish-setter-300x189.jpg
Irish Terrier,Large,Terrier Dogs,18 to 20 inches tall at the shoulder,48.26,25 to 27 pounds,26,11.7,12 to 16 years,14,2.8,3,2,3,2,4,4,3.67,5,5,1,3,3,4,1,2,5,3,3,2.4,1,4,1,2,4,3,4.33,5,4,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23068_irish-terrier-300x189.jpg
Irish Water Spaniel,Very Large,Sporting Dogs,21 inches to 24 inches tall at the shoulder,57.15,45 to 65 pounds,55,24.75,10 to 12 years,11,3.2,3,2,4,3,4,4,4.67,5,5,4,5,2.2,1,2,3,2,3,3,4.2,5,4,3,5,4,3,4.33,5,3,5,4,https://www.dogtime.com/assets/uploads/2011/01/file_22986_irish-water-spaniel-300x189.jpg
Irish Wolfhound,Very Large,Hound Dogs,32 to 35 inches tall at the shoulder,85.09,115 to 180 pounds,146,66.38,6 to 8 years,7,2.4,1,2,3,2,4,2,5,5,5,5,5,2.2,3,1,3,1,3,5,3.2,3,4,3,5,1,3,2.67,2,2,4,4,https://www.dogtime.com/assets/uploads/2011/01/file_23030_irish-wolfhound-300x189.jpg
Italian Greyhound,Small,Companion Dogs,13 to 15 inches tall at the shoulder,35.56,6 to 15 pounds,10,4.73,14 to 15 years,14,3.4,5,5,5,1,1,3,4.67,5,5,4,4,2.6,2,1,5,3,2,2,3.6,3,3,4,5,3,3,3.33,4,2,4,4,https://www.dogtime.com/assets/uploads/2011/01/file_23110_italian-greyhound-300x189.jpg
Jack-A-Poo,Medium,Mixed Breed Dogs,10 to 16 inches,33.02,13 to 25 pounds,19,8.55,12 to 15 years,14,3.6,4,4,4,2,4,4,5,5,5,5,4,2.4,2,1,2,3,4,2,4,4,5,4,4,3,4,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2020/02/jack-a-poo-mixed-dog-breed-pictures-cover-650x368.jpg
Jack Chi,Medium,Mixed Breed Dogs,12 to 15 inches,34.29,8 to 18 pounds,13,5.85,13 to 18 years,16,2.8,4,2,3,3,2,4,4.33,4,5,4,3,3.4,2,2,5,4,4,2,2.8,2,4,2,4,2,4,4,4,4,4,5,https://www.dogtime.com/assets/uploads/2019/07/jack-chi-mixed-dog-breed-pictures-cover-650x368.jpg
Jack Russell Terrier,Medium,Terrier Dogs,10 to 15 inches tall at the shoulder,31.75,13 to 17 pounds,15,6.75,10 to 15 years,12,3,3,2,3,3,4,3,4.67,5,4,5,4,3,3,1,3,4,4,2,4.4,4,5,4,5,4,4,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23080_jack-russell-terrier-300x189.jpg
Jackshund,Medium,Mixed Breed Dogs,8 to 23 inches,39.37,15 to 28 pounds,21,9.68,12 to 15 years,14,3,4,2,3,3,3,3,4.33,5,4,4,3,3,3,1,3,3,5,2,4.4,3,5,4,5,5,5,4,4,4,4,5,https://www.dogtime.com/assets/uploads/2020/02/jackshund-mixed-dog-breed-pictures-COVER-650x368.jpg
Japanese Chin,Small,Companion Dogs,8 to 11 inches tall at the shoulder,24.13,4 to 9 pounds,6,2.92,10 to 14 years,12,3.2,5,4,3,1,3,2,3,3,3,3,4,2.6,3,1,3,3,3,1,3.2,3,3,4,3,3,1,1.67,2,1,2,4,https://www.dogtime.com/assets/uploads/2011/01/file_23112_japanese-chin-300x189.jpg
Japanese Spitz,Medium,Companion Dogs,10 to 16 inches,33.02,11 to 20 pounds,15,6.98,10 to 16 years,13,3.4,4,4,3,2,4,3,4.33,4,5,4,2,2.6,3,1,4,3,2,2,3.2,4,4,2,2,4,2,2.67,3,2,3,4,https://www.dogtime.com/assets/uploads/2018/06/japanese-spitz-dog-breed-pictures-header-650x368.jpg
Korean Jindo Dog,Very Large,Sporting Dogs,19½ to 21 inches for males,50.8,35 - 60 pounds,47,21.38,12 - 15 years,14,3,3,2,3,2,5,2,3.67,5,3,3,4,2.6,5,1,1,4,2,3,3.5,2,5,2,5,,5,4.33,4,4,5,4,https://www.dogtime.com/assets/uploads/2015/08/jindo-650x382.png
Kai Ken,Large,Companion Dogs,17 to 22 inches,49.53,25 to 45 pounds,35,15.75,12 to 16 years,14,2.6,2,2,2,3,4,3,3.67,4,4,3,2,3,4,2,2,4,3,3,3.4,3,5,2,5,2,3,4.67,5,4,5,3,https://www.dogtime.com/assets/uploads/2020/05/kai-ken-dog-breed-pictures-cover-650x368.jpg
Karelian Bear Dog,Very Large,Working Dogs,19 to 24 inches,54.61,44 to 50 pounds,47,21.15,10 to 13 years,12,2.8,2,1,4,2,5,3,2.67,4,3,1,2,2.8,3,1,4,4,2,3,3.8,2,4,4,5,4,5,4.33,4,5,4,4,https://www.dogtime.com/assets/uploads/2018/04/karelian-bear-dog-header-650x368.jpg
Keeshond,Large,Companion Dogs,16 inches to 19 inches tall at the shoulder,44.45,35 to 45 pounds,40,18,12 to 15 years,14,3.8,4,4,5,1,5,3,4.67,5,5,4,4,3.2,5,1,3,3,4,3,3.6,4,4,3,3,4,2,3.33,4,3,3,5,https://www.dogtime.com/assets/uploads/2011/01/file_23152_keeshond-300x189.jpg
Kerry Blue Terrier,Large,Terrier Dogs,17 to 19 inches tall at the shoulder,45.72,33 to 40 pounds,36,16.42,12 to 15 years,14,3,3,2,3,3,4,3,3.33,4,4,2,5,2,1,1,2,3,3,3,3.8,4,4,4,3,4,3,4.33,4,4,5,4,https://www.dogtime.com/assets/uploads/2011/01/file_23070_kerry-blue-terrier-300x189.jpg
King Shepherd,Very Large,Hybrid Dogs,25 to 31 inches ,71.12,75 to 150 pounds ,112,50.62,10 to 11 years ,10,3.4,4,2,4,2,5,4,4.33,4,4,5,4,3.8,4,4,4,3,4,5,3.2,4,5,3,2,2,3,3.33,3,3,4,4,https://www.dogtime.com/assets/uploads/2020/03/king-shepherd-dog-breed-picture-cover-650x368.jpg
Kishu Ken,Very Large,Working Dogs,17 to 22 inches,49.53,30 to 60 pounds,45,20.25,9 to 13 years,11,3.2,3,2,3,3,5,3,2.67,3,3,2,2,3.2,4,2,3,4,3,3,3.2,4,5,2,4,1,2,3.33,3,3,4,2,https://www.dogtime.com/assets/uploads/2020/06/kishu-ken-dog-breed-pictures-cover-650x368.jpg
Komondor,Very Large,Working Dogs,25 to 27 inches tall at the shoulder,66.04,80 to 100 pounds,89,40.5,10 to 12 years,11,2.4,2,1,4,1,4,3,3,5,3,1,1,2.4,3,2,2,2,3,4,3.6,4,4,3,2,5,4,2.33,2,1,4,4,https://www.dogtime.com/assets/uploads/2011/01/file_22930_komondor-300x189.jpg
Kooikerhondje,Medium,Sporting Dogs,14 to 16 inches tall at the shoulder,38.1,20 to 25 pounds,22,10.12,12 to 14 years,13,3.4,4,3,4,2,4,3,2.33,3,2,2,2,2.8,3,1,2,5,3,3,2.8,1,4,3,3,3,3,4.67,4,5,5,4,https://www.dogtime.com/assets/uploads/2011/01/file_23266_kooikerhondje-300x189.jpg
Kuvasz,Very Large,Working Dogs,26 to 30 inches tall at the shoulder,71.12,70 to 115 pounds,92,41.62,10 to 12 years,11,2.6,1,1,5,1,5,2,2.67,5,1,2,1,3.8,4,3,4,4,4,5,2.2,2,4,1,1,3,3,4.33,4,4,5,4,https://www.dogtime.com/assets/uploads/2011/01/file_22932_kuvasz-300x189.jpg
Kyi-Leo,Small,Mixed Breed Dogs,8 to 12 inches,25.4,8 to 14 pounds,11,4.95,13 to 15 years,14,4.2,5,4,3,4,5,2,4.67,5,5,4,3,2.2,2,1,2,3,3,2,3,3,3,4,1,4,2,3,4,3,2,4,https://www.dogtime.com/assets/uploads/2019/07/kyi-leo-mixed-dog-breed-pictures-cover-650x368.jpg
Lab Pointer,Very Large,Mixed Breed Dogs,22 to 28 inches,63.5,35 to 80 pounds,57,25.88,10 to 15 years,12,2.6,1,4,3,1,4,4,4,5,4,3,4,3.2,2,2,4,4,4,4,3.4,5,4,2,4,2,4,4.33,5,3,5,4,https://www.dogtime.com/assets/uploads/2019/09/lab-pointer-mixed-dog-breed-pictures-cover-650x368.jpg
Labernese,Very Large,Mixed Breed Dogs,24 to 28 inches,66.04,65 to 110 pounds,87,39.38,6 to 12 years,9,3,2,4,4,1,4,2,4.33,4,5,4,3,3.2,4,3,3,2,4,4,3,3,4,3,3,2,4,3.33,4,2,4,5,https://www.dogtime.com/assets/uploads/2019/08/labernese-mixed-dog-breed-pictures-cover-650x368.jpg
Labmaraner,Very Large,Mixed Breed Dogs,21 to 24 inches,57.15,60 to 100 pounds,79,36,10 to 12 years,11,2.6,1,4,4,1,3,3,4.33,4,5,4,3,3,1,2,4,4,4,4,3.4,4,4,3,3,3,4,4,4,3,5,5,https://www.dogtime.com/assets/uploads/2019/08/labmaraner-mixed-dog-breed-pictures-cover-650x368.jpg
Labrabull,Very Large,Mixed Breed Dogs,20 to 24 inches ,55.88,45 to 90 pounds ,67,30.38,10 to 14 years ,12,2.4,2,2,4,1,3,3,4,5,5,2,5,3.6,5,2,5,3,3,4,4.2,5,5,5,3,3,4,4.67,5,5,4,5,https://www.dogtime.com/assets/uploads/2019/08/Labrabull-mixed-dog-breed-pictures-cover-650x368.jpg
Labradane,Very Large,Mixed Breed Dogs,24 to 30 inches,68.58,100 to 180 pounds,139,63,8 to 12 years,10,2.4,1,2,3,2,4,4,4.67,5,5,4,3,3.4,2,3,4,4,4,5,2.6,3,4,2,3,1,3,3.33,4,2,4,5,https://www.dogtime.com/assets/uploads/2019/07/labradane-mixed-dog-breed-pictures-cover-650x368.jpg
Labradoodle,Very Large,Hybrid Dogs,21 to 24 inches at the shoulder,57.15,50 to 65 pounds,57,25.88,12 to 14 years,13,3.8,3,4,3,4,5,4,4.67,5,4,5,5,3,3,1,4,4,3,4,2.6,4,4,1,2,2,3,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23220_what-is-a-labradoodle-300x189.jpg
Labrador Retriever,Very Large,Sporting Dogs,21 to 24 inches at the shoulder,57.15,55 to 80 pounds,67,30.38,10 to 12 years,11,2.8,1,3,5,2,3,3,5,5,5,5,5,4.2,5,3,5,3,5,4,4.2,5,5,5,2,4,3,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22988_labrador-retriever-300x189.jpg
Labrastaff,Very Large,Mixed Breed Dogs,17 to 24 inches,52.07,40 to 80 pounds,60,27,10 to 14 years,12,2.4,2,2,4,1,3,3,3.67,4,4,3,4,3.6,4,3,3,4,4,4,3,2,4,3,3,3,4,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2019/09/labrastaff-mixed-dog-breed-picture-cover-650x368.jpg
Labsky,Very Large,Mixed Breed Dogs,20 to 28 inches,60.96,40 to 60 pounds,50,22.5,10 to 12 years,11,2.6,2,2,2,2,5,1,4,5,4,3,3,3,4,2,2,3,4,4,4,4,5,3,4,4,4,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2019/07/labsky-mixed-dog-breed-pictures-cover-650x368.jpg
Lagotto Romagnolo,Large,Sporting Dogs,14 to 19 inches,41.91,24 to 35 pounds,29,13.28,14 to 17 years,16,3.2,2,4,3,3,4,3,3,3,3,3,3,2.2,1,2,1,4,3,2,3.4,4,4,2,4,3,3,3.33,4,2,4,4,https://www.dogtime.com/assets/uploads/2018/07/lagotto-romagnolo-dog-breed-pictures-header-650x368.jpg
Lakeland Terrier,Medium,Terrier Dogs,13 to 14 inches tall at the shoulder,34.29,15 to 17 pounds,16,7.2,12 to 15 years,14,3.2,4,3,3,2,4,4,4,5,4,3,3,2.6,2,1,2,5,3,2,3,2,4,1,4,4,3,4.33,5,4,4,4,https://www.dogtime.com/assets/uploads/2011/01/file_23072_lakeland-terrier-300x189.jpg
Lancashire Heeler,Medium,Herding Dogs,10 to 12 inches tall at the shoulder,27.94,13 to 15 pounds,14,6.3,9 to 14 years,12,2.6,2,2,3,3,3,3,3.33,4,3,3,2,3.2,3,1,4,4,4,1,2.6,3,4,2,2,2,4,3.67,4,4,3,4,https://www.dogtime.com/assets/uploads/2011/01/file_23282_lancashire-heeler-300x189.jpg
Leonberger,Very Large,Working Dogs,25 to 31 inches tall at the shoulder,71.12,120 to 170 pounds,144,65.25,10 to 12 years,11,2.6,1,1,4,2,5,1,4,5,4,3,2,3.4,5,3,4,1,4,5,3.2,2,3,4,4,3,2,4,4,4,4,4,https://www.dogtime.com/assets/uploads/2011/01/file_23272_leonberger-dog-breed-300x189.jpg
Lhasa Apso,Medium,Companion Dogs,9 to 11 inches tall at the shoulder,25.4,12 to 15 pounds,13,6.08,12 to 15 years,14,4.4,5,5,5,4,3,2,3.67,4,4,3,2,2.2,3,1,1,3,3,1,3.6,3,4,3,4,4,2,3.33,4,3,3,5,https://www.dogtime.com/assets/uploads/2011/01/file_23154_lhasa-apso-300x189.jpg
Lhasapoo,Medium,Mixed Breed Dogs,9 to 13 inches,27.94,10 to 15 pounds,12,5.62,10 to 15 years,12,3,4,2,4,2,3,3,3.33,4,3,3,1,2.4,1,1,3,4,3,3,3.2,3,5,2,2,4,2,3.67,4,4,3,4,https://www.dogtime.com/assets/uploads/2020/02/lhasapoo-mixed-dog-breed-pictures-cover-650x368.jpg
Lowchen,Medium,Companion Dogs,12 to 14 inches tall at the shoulder,33.02,9 to 18 pounds,13,6.08,13 to 15 years,14,3.2,5,4,3,1,3,3,4.67,5,5,4,4,3,3,1,3,5,3,1,4,5,4,3,4,4,5,3.67,4,3,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23156_lowchen-300x189.jpg
Maltese,Small,Companion Dogs,8 to 10 inches tall at the shoulder,22.86,Up to 7 pounds,7,3.15,12 to 15 years,14,3.2,5,5,4,1,1,3,4,5,3,4,2,2.2,2,1,2,3,3,1,3.8,4,4,3,4,4,1,2.67,3,3,2,4,https://www.dogtime.com/assets/uploads/2011/01/file_23114_maltese-300x189.jpg
Maltese Shih Tzu,Small,Hybrid Dogs,From 10 inches tall at the shoulder,25.4,6 to 12 pounds,9,4.05,12 to 14 years,13,3.6,5,5,3,3,2,2,3.33,4,3,3,3,1.8,1,1,2,2,3,1,4,4,3,4,5,4,1,2.67,3,2,3,3,https://www.dogtime.com/assets/uploads/2011/01/file_23216_maltese-shih-tzu-300x189.jpg
Maltipoo,Medium,Hybrid Dogs,8 to 14 inches tall at the shoulder,27.94,5 to 20 pounds,12,5.62,10 to 13 years,12,3.6,5,5,5,1,2,3,4.33,5,4,4,4,1.8,1,1,3,2,2,2,3.8,5,4,3,2,5,4,2.67,3,3,2,4,https://www.dogtime.com/assets/uploads/2011/01/file_23210_maltipoo-300x189.jpg
Manchester Terrier,Medium,Terrier Dogs,15 to 16 inches tall at the shoulder,39.37,12 to 22 pounds,17,7.65,14 to 16 years,15,3,5,3,3,3,1,3,3.33,4,3,3,3,3,3,1,5,2,4,2,3.2,2,4,2,4,4,4,4,4,4,4,4,https://www.dogtime.com/assets/uploads/2011/01/file_23224_manchester-terrier-300x189.jpg
Maremma Sheepdog,Very Large,Working Dogs, 23.5 to 28.5 inches,38.74,65 to 100 pounds,82,37.12,11 to 13 years,12,2.4,1,1,4,2,4,2,4,4,4,4,1,4,5,3,2,5,5,4,2.2,1,5,2,1,2,2,4,4,4,4,2,https://www.dogtime.com/assets/uploads/2020/07/Maremma-Sheepdog-breed-pictures-cover-650x368.jpg
Mastador,Very Large,Mixed Breed Dogs,28 to 36 inches,81.28,85 to 160 pounds ,122,55.12,10 to 12 years ,11,2.8,1,2,4,3,4,2,4.33,5,5,3,3,4,4,4,4,4,4,4,3.2,4,4,4,2,2,2,4,4,4,4,4,https://www.dogtime.com/assets/uploads/2019/09/mastador-mixed-dog-breed-picture-cover-650x368.jpg
Mastiff,Very Large,Working Dogs,27 to 32 inches tall at the shoulder,74.93,130 to 220 pounds,174,78.75,6 to 10 years,8,2.6,2,1,3,3,4,1,4,5,5,2,2,3.6,3,5,3,3,4,5,2.6,3,2,4,2,2,1,3.33,3,3,4,4,https://www.dogtime.com/assets/uploads/2011/01/file_22934_mastiff-300x189.jpg
Miniature Pinscher,Small,Companion Dogs,10 to 12 inches tall at the shoulder,27.94,8 to 11 pounds,9,4.28,10 to 14 years,12,3.2,5,3,5,2,1,3,3.33,5,3,2,3,3.2,2,1,5,3,5,1,3.2,3,3,2,3,5,5,3.67,4,3,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23116_miniature-pinscher-300x189.jpg
Miniature Schnauzer,Medium,Terrier Dogs,13 to 14 inches tall at the shoulder,34.29,11 to 20 pounds,15,6.98,12 to 14 years,13,4,4,3,4,5,4,4,3.67,5,3,3,3,2.4,2,1,2,3,4,2,3.6,5,4,2,4,3,3,4.33,5,3,5,4,https://www.dogtime.com/assets/uploads/2011/01/file_23074_miniature-schnauzer-300x189.jpg
Morkie,Small,Mixed Breed Dogs,4 to 8 inches,15.24,7 to 13 pounds,10,4.5,10 to 14 years,12,2.4,3,2,3,2,2,3,3,4,3,2,3,2.6,1,1,3,4,4,1,4,3,4,5,3,5,2,3.67,4,3,4,5,https://www.dogtime.com/assets/uploads/2019/07/morkie-mixed-dog-breed-pictures-cover-650x368.jpg
Mountain Cur,Very Large,Working Dogs,16 to 26 inches,53.34,30 to 60 pounds,45,20.25,10 to 16 years,13,2.2,1,1,3,2,4,4,3.67,4,4,3,2,2.6,2,1,4,5,1,4,3.2,2,4,2,5,3,4,4.33,4,4,5,4,https://www.dogtime.com/assets/uploads/2020/07/mountain-cur-dog-breed-pictures-cover-650x368.jpg
Mountain Feist,Medium,Terrier Dogs,10 to 22 inches,40.64,10 to 30 pounds,20,9,10 to 18 years,14,2.8,2,1,4,3,4,3,3.67,5,3,3,2,3.4,3,4,5,4,1,2,3.8,3,3,4,5,4,4,4,4,4,4,5,https://www.dogtime.com/assets/uploads/2020/12/Mountain-Feist-dog-breed-pictures-cover-650x368.jpg
Mudi,Medium,Herding Dogs,14 to 20 inches,43.18,18 to 29 pounds,23,10.58,12 to 14 years,13,3,2,4,4,2,3,3,2.67,4,2,2,2,2.8,3,1,4,4,2,2,4,5,4,3,4,4,4,3.33,4,2,4,4,https://www.dogtime.com/assets/uploads/2018/04/mudi-dog-breed-pictures-header-650x368.jpg
Neapolitan Mastiff,Very Large,Working Dogs,24 to 31 inches tall at the shoulder,69.85,120 to 200 pounds,159,72,8 to 10 years,9,1.8,2,1,4,1,1,2,3.67,5,4,2,1,3.6,3,5,3,2,5,5,2,3,3,2,1,1,1,2.33,3,1,3,4,https://www.dogtime.com/assets/uploads/2011/01/file_22936_neapolitan-mastiff-300x189.jpg
Newfoundland,Very Large,Working Dogs,25 inch to 29 inches tall at the shoulder,68.58,100 to 150 pounds,124,56.25,8 to 10 years,9,2.8,1,3,4,1,5,2,4.67,5,5,4,4,3.4,5,5,2,1,4,5,4,5,4,3,4,4,3,2.33,3,1,3,4,https://www.dogtime.com/assets/uploads/2011/01/file_22938_newfoundland-300x189.jpg
Norfolk Terrier,Small,Terrier Dogs,9 to 10 inches tall at the shoulder,24.13,11 to 12 pounds,11,5.18,12 to 15 years,14,4,4,5,4,3,4,4,4.67,5,4,5,4,3.2,1,1,4,5,5,1,3,5,4,2,1,3,4,4,4,4,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23076_norfolk-terrier-300x189.jpg
Northern Inuit Dog,Very Large,Hybrid Dogs,23 to 32 inches,69.85,55 to 110 pounds,82,37.12,12 to 15 years,14,2.4,1,1,4,1,5,3,4,5,4,3,5,2.8,5,1,2,4,2,4,3.8,2,4,4,4,5,5,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2020/07/northern-inuit-dog-hybrid-breed-pictures-cover-650x368.jpg
Norwegian Buhund,Large,Herding Dogs,16 to 18 inches tall at the shoulder,43.18,26 to 40 pounds,33,14.85,12 to 15 years,14,3.6,3,3,3,4,5,2,4.33,5,5,3,3,2.6,3,1,2,4,3,3,3.2,4,3,3,2,4,4,4.33,4,4,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23284_norwegian-buhund-300x189.jpg
Norwegian Elkhound,Very Large,Hound Dogs,19 to 20 inches tall at the shoulder,49.53,44 to 51 pounds,47,21.38,12 to 15 years,14,3.8,4,4,4,2,5,3,4.33,5,4,4,4,3.4,5,1,3,4,4,3,3.4,2,4,3,4,4,4,4.33,5,3,5,4,https://www.dogtime.com/assets/uploads/2011/01/file_23032_norwegian-elkhound-300x189.jpg
Norwegian Lundehund,Medium,Working Dogs,12 inches to 15 inches tall at the shoulder,34.29,13 to 16 pounds,14,6.52,10 to 12 years,11,2.4,1,1,3,2,5,3,5,5,5,5,5,3.2,5,1,4,3,3,3,3,4,5,3,2,1,5,4.33,4,4,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23276_norwegian-lundehund-300x189.jpg
Norwich Terrier,Medium,Terrier Dogs,Up to 10 inches tall at the shoulder,25.4,Up to 12 pounds,12,5.4,10 to 14 years,12,3.6,5,3,4,2,4,4,5,5,5,5,5,2.8,2,1,2,4,5,1,3.8,4,4,4,3,4,4,4.33,5,4,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23078_norwich-terrier-300x189.jpg
Nova Scotia Duck Tolling Retriever,Large,Sporting Dogs,17 inches to 21 inches tall at the shoulder,48.26,35 to 50 pounds,42,19.12,10 to 14 years,12,3.4,5,3,3,2,4,4,4.67,5,5,4,4,3.4,3,1,5,4,4,3,4.4,4,5,4,5,4,3,4.33,5,3,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22990_nova-scotia-duck-tolling-retriever-300x189.jpg
Old English Sheepdog,Very Large,Herding Dogs,Up to 22 inches long,55.88,80 to 100 pounds,89,40.5,10 to 12 years,11,3.8,5,4,4,2,4,2,4.33,5,4,4,4,2.8,1,4,1,4,4,4,2.6,3,4,2,3,1,2,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2011/01/file_23190_old-english-sheepdog-300x189.jpg
Otterhound,Very Large,Hound Dogs,24 to 27 inches tall,64.77,80 to 115 pounds,97,43.88,10 to 12 years,11,3.2,1,4,2,5,4,3,5,5,5,5,4,2.8,4,1,2,4,3,4,3.2,2,4,3,5,2,5,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23034_otterhound-300x189.jpg
Papillon,Small,Companion Dogs,8 to 11 inches tall at the shoulder,24.13,4 to 9 pounds,6,2.92,12 to 16 years,14,3.2,5,5,3,1,2,4,4,5,3,4,5,2.4,2,1,3,3,3,1,3.6,5,4,3,4,2,1,4,4,3,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23118_papillon-300x189.jpg
Papipoo,Small,Mixed Breed Dogs,10 to 11 inches,26.67,6 to 14 pounds,10,4.5,10 to 14 years,12,3.4,5,5,4,1,2,4,4,5,3,4,4,2,1,1,2,3,3,1,3.6,5,5,3,3,2,2,4.33,5,3,5,5,https://www.dogtime.com/assets/uploads/2020/01/papipoo-mixed-dog-breed-pictures-cover-1-650x368.jpg
Patterdale Terrier,Medium,Terrier Dogs,12 to 15 inches,34.29,11 to 13 pounds ,12,5.4,11 to 14 years,12,2.4,1,2,4,1,4,4,4,4,4,4,4,2.8,2,1,4,4,3,2,3.8,3,5,4,5,2,4,4,4,4,4,4,https://www.dogtime.com/assets/uploads/2020/07/patterdale-terrier-dog-breed-pictures-cover-650x368.jpg
Peekapoo,Medium,Hybrid Dogs,Up to 11 inches tall at the shoulder,27.94,4 to 20 pounds,12,5.4,10 to 15 years,12,3.8,5,5,4,2,3,2,4.33,5,4,4,3,2.4,2,1,2,3,4,1,3.6,3,4,4,3,4,1,2.67,3,2,3,4,https://www.dogtime.com/assets/uploads/2011/01/file_23222_peekapoo-300x189.jpg
Pekingese,Small,Companion Dogs,6 to 9 inches tall at the shoulder,19.05,7 to 14 pounds,10,4.73,12 to 15 years,14,3.6,5,4,2,3,4,1,3,5,2,2,2,2.2,4,1,1,2,3,1,3.8,3,4,3,5,4,3,1.67,2,1,2,3,https://www.dogtime.com/assets/uploads/2011/01/file_23120_pekingese-300x189.jpg
Pembroke Welsh Corgi,Large,Herding Dogs,10 to 12 inches tall at the shoulder,27.94,Up to 30 pounds,30,13.5,12 to 14 years,13,3.8,4,4,4,3,4,3,4,5,4,3,5,3.4,5,1,4,3,4,2,4,5,5,2,3,5,2,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2011/01/file_23192_pembroke-welsh-corgi-300x189.jpg
